customer_city,total_sales
caucaia,5856.66
simoes filho,4671.4800000000005
ouroeste,1235.19
nazareno,161.8
paulinia,16475.05
iraquara,390.79999999999995
celina,174.9
moju,242.88000000000002
bauru,38903.689999999995
valinhos,22101.75
santo antonio de posse,5027.889999999999
taua,933.13
centralina,29.99
nova petropolis,459.89
santana do jacare,1685.79
itauna,7743.950000000001
sao miguel do guapore,399.44000000000005
niquelandia,1577.67
estancia,2594.65
bacuri,315.41999999999996
mineiros do tiete,216.15
vassouras,4481.900000000001
nova lima,20815.15
jauru,613.79
cravinhos,2363.95
itambe,898.3799999999999
acaiaca,164.9
morada nova,1355.27
munhoz,384.66999999999996
passo fundo,15163.710000000001
godoy moreira,1049.0
fazenda rio grande,4655.49
londrina,45867.97
viamao,6479.31
getulio vargas,746.61
registro,5929.57
mairinque,2772.12
santo antonio do monte,1909.1200000000001
lauro de freitas,8632.98
coronel vivida,856.8700000000001
angra dos reis,18693.24
guaiba,5417.51
manhuacu,8510.0
joacaba,4720.999999999998
nova andradina,2194.87
indaiatuba,36683.59999999999
sao goncalo,50833.270000000004
itapolis,3363.99
santa luzia,11727.17
hortolandia,16225.15
itajuipe,734.49
rio bonito,4352.110000000001
solonopole,729.89
cajamar,9725.38
pinheiral,2165.19
itapevi,18348.91
sumidouro,1060.6799999999998
juquia,710.08
senador pompeu,585.94
porto seguro,10241.089999999998
brasilia,295814.72
tarabai,982.35
senador jose porfirio,6.0
lagoa da confusao,699.99
lima duarte,764.88
cansancao,766.9599999999999
manoel ribas,631.65
teresina,49028.57
sumare,21135.11
arapoti,966.9699999999999
livramento de nossa senhora,655.54
balneario camboriu,16609.33
santo antonio do palma,73.89
louveira,4777.82
barrinha,2965.1400000000003
miguel pereira,3602.2000000000003
barretos,9077.109999999999
sao joao batista,1788.2200000000003
maracai,1114.58
assis chateaubriand,1200.31
pedra preta,589.79
vera cruz,2797.6599999999994
jandaia do sul,1839.2500000000002
alvorada,7702.199999999999
luis eduardo magalhaes,8343.869999999999
curitiba,205999.32999999984
rio das ostras,18998.989999999998
teofilo otoni,7744.23
joao lisboa,612.89
cordeiropolis,1260.0500000000002
sabaudia,5.9
sao francisco,2338.3900000000003
santa juliana,1723.3899999999999
agua boa,2758.87
leme,8152.92
seropedica,4391.15
pocoes,308.99
niteroi,115890.25999999995
jacarezinho,1289.36
vinhedo,8895.119999999999
sume,248.89
charqueadas,1721.4100000000003
japeri,4458.2699999999995
santa barbara d oeste,170.92000000000002
governador valadares,18106.350000000002
coronel fabriciano,4149.2
belo jardim,1578.63
cruzilia,377.9
goianinha,325.3
araruna,559.87
mongagua,5212.53
sao lourenco da serra,1151.95
brejo santo,1529.8600000000001
mafra,1719.63
goiania,96547.84999999995
canaa dos carajas,1565.93
aripuana,1124.7800000000002
monte siao,2530.2799999999993
lagoa do ouro,305.9
colorado,1225.48
aguas belas,769.87
tabapua,1322.9599999999998
guapimirim,2967.2600000000007
eugenopolis,973.87
sao jeronimo,569.75
lapa,2039.2000000000003
arapua,89.0
guapore,3153.1499999999996
oliveira,2579.0
conceicao das pedras,313.59000000000003
campo formoso,3419.13
araguaina,7384.789999999998
contenda,89.9
jaiba,683.49
potiragua,495.97
imperatriz,7171.379999999999
quatituba,105.0
corumba,4700.17
porto firme,153.60999999999999
alegrete,4483.77
itaporanga,2501.08
condado,944.8
aracati,2629.5400000000004
sao felix do xingu,1382.6999999999998
descoberto,206.98000000000002
paraisopolis,2041.76
nova trento,870.5999999999999
canela,2418.63
santa fe do sul,3945.7699999999995
martinho campos,415.2
cicero dantas,2974.15
porto nacional,1577.68
nova fatima,398.69
alto boa vista,418.0
itapema,6109.869999999999
buritis,1981.55
parauna,556.88
ribeira do pombal,618.1899999999999
santo andre,89435.72999999998
salvador,173273.0499999999
mairipora,9087.38
barreiras,10809.029999999997
sao jose do rio pardo,5106.24
coremas,284.69
guarapuava,8460.55
jose de freitas,257.9
colorado do oeste,199.88
governador lindenberg,101.97
iguaracu,525.7
sao paulo,1859466.8399999954
santa helena,1277.85
campo limpo paulista,4773.44
piraju,4659.089999999999
marco,582.6
itaqui,1154.3799999999999
mariana,4416.579999999999
vargem grande do sul,778.6999999999999
jacui,403.73999999999995
tubarao,10606.13
espirito santo do pinhal,2160.0200000000004
uruburetama,58.99
jequitinhonha,1372.3700000000001
apodi,377.89
braganca paulista,20127.620000000003
embu-guacu,6244.679999999999
irati,2455.2200000000003
ipatinga,21797.420000000002
jales,2918.15
boa esperanca do iguacu,35.9
presidente olegario,412.90999999999997
porto feliz,2974.0699999999993
capetinga,198.9
ocaucu,241.60000000000002
prudentopolis,839.09
mesquita,9191.919999999998
butia,1112.69
sao borja,2124.7400000000002
sombrio,1175.92
campo novo do parecis,4915.79
soledade,827.69
goiatuba,2347.44
vitoria de santo antao,2455.1499999999996
maurilandia,265.63
andre da rocha,119.0
nova iguacu,58217.83000000001
pouso alegre,21181.45
formiga,4407.94
taquaritinga,4604.030000000001
irai de minas,414.89
vereda,309.4
cordeiro,2604.8599999999997
apucarana,6684.3600000000015
valparaiso de goias,5437.849999999999
timon,1123.7199999999998
saudade do iguacu,263.79
juquitiba,3073.870000000001
belem,78802.74
paranapanema,560.4499999999999
mirassol d'oeste,1912.0199999999998
senhora dos remedios,29.99
catuipe,539.8
corumbaiba,176.8
lencois paulista,6720.22
cachoeiro de itapemirim,15871.63
areia branca dos assis,462.54
ariranha,531.49
conceicao do coite,997.8899999999999
pontal,1097.3799999999999
engenheiro coelho,1049.48
gongogi,29.99
carlopolis,755.4000000000001
paranaita,1858.75
ubaira,704.79
monte aprazivel,948.11
monte alto,2355.01
guaratingueta,14751.119999999999
lucas do rio verde,5667.76
adolfo,373.8
sao miguel do aleixo,20.0
caraguatatuba,11603.259999999998
valenca,10314.050000000001
taiuva,881.54
pedrinhas paulista,420.87
carmopolis de minas,1629.7800000000002
gravatai,18591.02
